tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,-30107,-6551,-52968,-64959,-32787,-177,-62296,-19627
0.00050000000000000001,-9067,10669,1901,-54924,-16843,20319,-42777,-24046
0.001,7342,18516,38623,-20467,6452,35054,-12872,-22047
0.0015,21946,17499,80038,43559,36704,64349,18613,18222
0.002,38559,20725,88424,80348,56441,89089,52141,28234
0.0025000000000000001,41473,30323,42588,63522,51549,72321,40152,33596
0.0030000000000000001,19157,27831,-7647,23448,34689,28953,14553,-8259
0.0035000000000000001,5850,21613,-17058,-2049,22219,9738,5021,-23960
0.0040000000000000001,5104,15489,12284,9320,20639,21724,17021,-18574
0.0044999999999999997,6106,12116,45201,40424,28039,36666,34904,8146
0.0050000000000000001,16489,16274,63323,56108,36783,36765,34700,8499
0.0054999999999999997,29739,28220,65734,57545,39039,33854,18828,-4726
0.0060000000000000001,32896,32003,56444,49801,29951,26059,1200,-14726
0.0064999999999999997,25367,28658,43319,39444,23413,19739,6224,-8177
0.0070000000000000001,15685,21286,30147,28461,17364,15364,3831,-2509
0.0074999999999999997,6581,16758,17819,15763,11288,8761,-4536,4363
0.0080000000000000002,478,10208,-8356,6315,8906,2876,-3404,9255
0.0085000000000000006,-6491,3685,-31286,-3646,7115,-4559,-2467,2251
0.0089999999999999993,-10942,-2471,-31353,-9806,1919,-9004,-4147,-1491
0.0094999999999999998,-10667,-1662,-20857,-6881,8598,-9366,-4227,-13534
0.01,-6609,3202,-746,255,15953,-2952,12161,9279
0.010500000000000001,2845,5174,13442,1618,14441,-2399,7605,14341
0.010999999999999999,12467,11009,23770,912,13393,-8623,-3026,28484
0.0115,18608,12423,26026,628,10511,-8119,49,43136
0.012,10042,11535,18705,436,7309,-2086,6667,48218
0.012500000000000001,-1746,10943,14654,2183,7559,2063,9488,66306
0.012999999999999999,158,11539,-847,-6539,4051,-409,-3308,62879
0.0135,5395,13609,-32756,-30322,-1764,-17116,-11306,53428
0.014,6331,12048,-34670,-43319,-6350,-31288,-22274,40556
0.014500000000000001,-8372,663,-5482,-29786,-4051,-24925,-13381,46102
0.014999999999999999,-26737,-10210,26066,914,1733,-4601,5583,61720
0.0155,-16149,-2568,26975,15272,8866,10683,13474,50007
0.016,1340,12546,23731,20266,18738,17048,11578,29416
0.016500000000000001,12858,14406,29664,23081,21402,19644,9713,35293
0.017000000000000001,12198,17799,31083,20961,19062,25268,14552,33049
0.017500000000000002,3220,8897,26743,12717,16154,20785,6619,9643
0.017999999999999999,-3987,1701,22376,7254,1636,15613,1316,14078
0.018499999999999999,-13134,1976,16263,1092,1051,6716,-545,6227
0.019,-13447,993,-59,-789,5209,-1599,-1068,-4317
0.0195,-9352,-629,-13888,-2522,7074,-2611,-4630,-23114
0.02,-6260,499,-12685,-1531,8633,-1359,-5784,-22706
0.020500000000000001,-2894,3773,-9412,-3292,9418,-1909,-3466,2228
