tiempo,paquete_id,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.0,981414,1748.5229759950544,-725.1061584301751,3225.3966285140013,-3373.5063813711645,-3164.408670886478,-3851.8178556930498,-1628.7952670266195,7769.714728898438
0.0005,981415,2209.8146192821223,-3888.616473128315,25443.87135933641,-4789.846204559279,-2591.770037215967,-4450.426020670207,773.2231251879857,-12706.250368232762
0.001,981416,-3850.6925298923816,-18139.008596673797,40895.845811133266,5636.687529252202,-3023.8703790256477,-3380.529337739761,5240.243488654225,-23378.67598570806
0.0015,981417,-13285.242474882805,-37792.93341041914,42893.690711059295,24223.322828453944,-3210.3464403354155,-1833.1911320053841,11732.513849708885,-22727.813931579403
0.002,981418,-17236.17672060933,-46741.01416749478,30249.12613875128,37509.45831959123,-594.3844022981357,-2582.7265557885403,17738.014065373107,-18342.29667752474
0.0025,981419,-11908.12883760847,-36729.84538210239,9500.376075801803,36910.596661396834,5737.381663863707,-7258.310682995259,21731.406317004745,-17983.475815360922
0.003,981420,-4272.829063773344,-19246.603778266785,-4883.514072486105,27904.054989039578,11835.961901953233,-13617.757820374893,24274.510415401863,-21993.82257149352
0.0035,981421,-3876.56681608074,-12053.475007603738,-3573.2766738040664,21382.277322001435,12786.736757464198,-17174.93019688894,27198.37085218002,-24689.13623726818
0.004,981422,-12101.99740280232,-20699.66167994522,11978.848022166421,23527.87202952629,8053.5201115656455,-16518.662227026543,29473.911152978304,-23713.830006462533
0.0045,981423,-19740.84728939638,-32999.61286510136,30131.400470667853,31107.988697435663,2608.7300843551493,-15257.838310806823,27739.868887063654,-23589.689674217734
0.005,981424,-17312.148391044953,-35286.03955617738,41060.1828303954,38053.081222618515,526.8617937298986,-17638.70975407128,19743.886931784764,-29147.11507723493
0.0055,981425,-4919.071125624927,-25607.204161244124,40527.712966896026,40132.3068882206,1587.4470244229378,-23500.137910505884,8943.111932401247,-37164.16561456589
0.006,981426,7175.573622647433,-13937.750296192276,32464.157065718333,37645.17959519895,2817.1939973838016,-28232.12215337359,1670.9936675273057,-39603.22549890993
0.0065,981427,8985.981732709151,-8992.750206590925,23748.414539918223,32511.550898435242,2745.855737891121,-27147.267494327578,1384.2839245623036,-33236.069132597506
0.007,981428,-468.22190657348983,-11287.32965349498,19389.451751922596,26764.788406873096,1753.4000577439692,-19641.714803331608,6074.744350082063,-22585.118203221657
0.0075,981429,-12680.593611646436,-15560.76651301427,17794.937910876823,21934.223003229312,906.8373033739335,-10395.923451270966,11720.719672421375,-13719.434313969798
0.008,981430,-17188.093488537736,-17258.517872562472,13648.819646685872,19476.95163764275,1278.5735388689354,-6412.788906489624,15619.9995586906,-9164.944114298314
0.0085,981431,-10500.560943233935,-14846.307211611771,3859.8431294068323,19162.858781061357,3914.660714354737,-10944.822269559798,17559.795639029504,-8205.46783944695
0.009,981432,250.99788355429337,-10647.629710873667,-6822.505718921798,19311.754075635934,8234.705855862769,-19734.101301951105,18592.919961149168,-9186.141044455599
0.0095,981433,4816.942181568598,-8459.706205021053,-10484.738567640987,18057.520086257115,11756.500343724874,-25308.631437951364,19620.95601490881,-9998.842415845986
0.01,981434,1251.2039528920195,-9856.110950237196,-4255.194081259278,15384.394862484189,12015.66260563276,-25619.367065547493,19672.70599023348,-8593.295314198484
